"id","name","slug","status","address","note","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by"
"40","Biopharma Ltd.","biopharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"41","Bridge Pharmaceuticals Ltd.","bridge-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"42","Bristol Pharma Ltd.","bristol-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"43","C2C Pharma Limited","c2c-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"44","Centeon Pharma Limited","centeon-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"45","Central Pharmaceutical Ltd.","central-pharmaceutical-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"46","Chemist Laboratories Ltd.","chemist-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"47","Cipla Ltd.","cipla-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"48","Concord Pharmaceuticals Ltd.","concord-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"49","Cosmic Pharma Ltd.","cosmic-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"50","Cosmo Pharma Laboratories Ltd.","cosmo-pharma-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"51","DBL Pharmaceuticals Limited","dbl-pharmaceuticals-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"52","Decent Pharma Laboratories Ltd.","decent-pharma-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"53","Delta Pharma Limited","delta-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"54","Desh Pharmaceuticals Ltd.","desh-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"55","Dider Pharma Ltd.,","dider-pharma-ltd.,","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"56","Doctor Tims Pharmaceuticals Ltd.","doctor-tims-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"57","Doctor's Chemicals Works Ltd.","doctor's-chemicals-works-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"58","Drug International Ltd.","drug-international-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"59","Drug International Ltd., Gopalpur","drug-international-ltd.,-gopalpur","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"60","Drug International Ltd., Squib Road","drug-international-ltd.,-squib-road","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"61","EDCL (Bogra)","edcl-(bogra)","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"62","EDCL (Dhaka)","edcl-(dhaka)","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"63","Edruc Ltd.","edruc-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"64","EMCS Pharma Limited","emcs-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"65","Eon Pharmaceuticals Ltd.","eon-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"66","Eskayef Pharmaceuticals Ltd. Chandana, Gazipur","eskayef-pharmaceuticals-ltd.-chandana,-gazipur","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"67","Eskayef Pharmaceuticals Ltd. Mirpur.","eskayef-pharmaceuticals-ltd.-mirpur.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"68","Eskayef Pharmaceuticals Ltd., Narayanganj","eskayef-pharmaceuticals-ltd.,-narayanganj","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"69","Eskayef Pharmaceuticals Ltd., Tongi,Gazipur","eskayef-pharmaceuticals-ltd.,-tongi,gazipur","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"70","Ethical Drug Ltd.","ethical-drug-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"71","Euro Pharma Ltd.","euro-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"72","Everest Pharmaceuticals Ltd.","everest-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"73","FnF Pharmaceuticals Ltd.","fnf-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"74","G. A. Company Ltd.","g.-a.-company-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
